quarter,epsActual,epsEstimate,epsDifference,surprisePercent,ticker,fetch_date
2024-12-31,1.19,0.91846,0.27,0.2956,CVS,2025-12-31 17:00:42.131672
2025-03-31,2.25,1.67298,0.58,0.3449,CVS,2025-12-31 17:00:42.131672
2025-06-30,1.81,1.4614,0.35,0.2385,CVS,2025-12-31 17:00:42.131672
2025-09-30,1.6,1.35668,0.24,0.17930001,CVS,2025-12-31 17:00:42.131672
2024-12-31,12.07,11.19475,0.88,0.078200005,REGN,2025-12-31 17:00:45.791489
2025-03-31,8.22,8.47656,-0.26,-0.030299999,REGN,2025-12-31 17:00:45.791489
2025-06-30,12.89,8.44013,4.45,0.5272,REGN,2025-12-31 17:00:45.791489
2025-09-30,11.83,9.64458,2.19,0.22659999,REGN,2025-12-31 17:00:45.791489
2024-12-31,6.64,7.82078,-1.18,-0.15100001,CI,2025-12-31 17:00:49.219240
2025-03-31,6.74,6.34841,0.39,0.0617,CI,2025-12-31 17:00:49.219240
2025-06-30,7.2,7.15372,0.05,0.0064999997,CI,2025-12-31 17:00:49.219240
2025-09-30,7.83,7.64116,0.19,0.0247,CI,2025-12-31 17:00:49.219240
2024-12-31,1.4,1.36128,0.04,0.028399998,ZTS,2025-12-31 17:00:52.780456
2025-03-31,1.48,1.39902,0.08,0.0579,ZTS,2025-12-31 17:00:52.780456
2025-06-30,1.76,1.61239,0.15,0.0915,ZTS,2025-12-31 17:00:52.780456
2025-09-30,1.7,1.6216,0.08,0.048299998,ZTS,2025-12-31 17:00:52.780456
2024-12-31,2.52,2.44539,0.07,0.0305,CME,2025-12-31 17:00:55.830741
2025-03-31,2.8,2.80865,-0.01,-0.0031,CME,2025-12-31 17:00:55.830741
2025-06-30,2.96,2.94105,0.02,0.0064,CME,2025-12-31 17:00:55.830741
2025-09-30,2.68,2.62798,0.05,0.0198,CME,2025-12-31 17:00:55.830741
2024-12-31,6.02,5.44997,0.57,0.1046,CB,2025-12-31 17:00:59.200439
2025-03-31,3.68,3.22817,0.45,0.14,CB,2025-12-31 17:00:59.200439
2025-06-30,6.14,5.96979,0.17,0.028499998,CB,2025-12-31 17:00:59.200439
2025-09-30,7.49,6.15549,1.33,0.2168,CB,2025-12-31 17:00:59.200439
2024-12-31,1.66,1.64824,0.01,0.0070999996,DUK,2025-12-31 17:01:02.972819
2025-03-31,1.76,1.58785,0.17,0.1084,DUK,2025-12-31 17:01:02.972819
2025-06-30,1.25,1.17462,0.08,0.0642,DUK,2025-12-31 17:01:02.972819
2025-09-30,1.81,1.74959,0.06,0.0345,DUK,2025-12-31 17:01:02.972819
2024-12-31,0.5,0.50865,-0.01,-0.017,SO,2025-12-31 17:01:06.524421
2025-03-31,1.23,1.19398,0.04,0.030199999,SO,2025-12-31 17:01:06.524421
2025-06-30,0.92,0.87912,0.04,0.0465,SO,2025-12-31 17:01:06.524421
2025-09-30,1.6,1.50886,0.09,0.060399998,SO,2025-12-31 17:01:06.524421
2024-12-31,3.43,2.98945,0.44,0.14739999,BDX,2025-12-31 17:01:09.890414
2025-03-31,3.35,3.28051,0.07,0.0212,BDX,2025-12-31 17:01:09.890414
2025-06-30,3.68,3.4023,0.28,0.081599995,BDX,2025-12-31 17:01:09.890414
2025-09-30,3.96,3.91498,0.05,0.0115,BDX,2025-12-31 17:01:09.890414
2024-12-31,3.77,3.34678,0.42,0.1265,PNC,2025-12-31 17:01:13.451458
2025-03-31,3.51,3.37653,0.13,0.0395,PNC,2025-12-31 17:01:13.451458
2025-06-30,3.85,3.54915,0.3,0.0848,PNC,2025-12-31 17:01:13.451458
2025-09-30,4.35,4.04349,0.31,0.0758,PNC,2025-12-31 17:01:13.451458
2024-12-31,2.54,2.49356,0.05,0.0186,ITW,2025-12-31 17:01:16.920313
2025-03-31,2.38,2.35309,0.03,0.0114,ITW,2025-12-31 17:01:16.920313
2025-06-30,2.58,2.56653,0.01,0.0052,ITW,2025-12-31 17:01:16.920313
2025-09-30,2.81,2.7031,0.11,0.0395,ITW,2025-12-31 17:01:16.920313
2024-12-31,2.74,2.5658,0.17,0.0679,EOG,2025-12-31 17:01:20.347718
2025-03-31,2.87,2.7719,0.1,0.0354,EOG,2025-12-31 17:01:20.347718
2025-06-30,2.32,2.20468,0.12,0.0523,EOG,2025-12-31 17:01:20.347718
2025-09-30,2.71,2.44642,0.26,0.107700005,EOG,2025-12-31 17:01:20.347718
2024-12-31,0.91,0.88937,0.02,0.0232,CL,2025-12-31 17:01:23.963685
2025-03-31,0.91,0.85755,0.05,0.0612,CL,2025-12-31 17:01:23.963685
2025-06-30,0.92,0.89489,0.03,0.028099999,CL,2025-12-31 17:01:23.963685
2025-09-30,0.91,0.88898,0.02,0.023599999,CL,2025-12-31 17:01:23.963685
2024-12-31,0.7,0.65685,0.04,0.0657,BSX,2025-12-31 17:01:27.347715
2025-03-31,0.75,0.67251,0.08,0.115200005,BSX,2025-12-31 17:01:27.347715
2025-06-30,0.75,0.72522,0.02,0.0342,BSX,2025-12-31 17:01:27.347715
2025-09-30,0.75,0.71366,0.04,0.0509,BSX,2025-12-31 17:01:27.347715
