period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,ticker,fetch_date
0y,7.71541,7.67,7.8,7.48,25,0.0315,DHR,2025-12-31 16:58:16.328246
+1y,8.42116,8.3,8.7,7.71541,25,0.0915,DHR,2025-12-31 16:58:16.328246
0q,1.06227,1.03,1.12,1.1,18,-0.0343,VZ,2025-12-31 16:58:19.782354
+1q,1.18801,1.13615,1.21,1.19,12,-0.0017,VZ,2025-12-31 16:58:19.782354
0y,4.68729,4.64,4.74,4.59,22,0.0212,VZ,2025-12-31 16:58:19.782354
+1y,4.79929,4.62,5.08,4.68729,22,0.0239,VZ,2025-12-31 16:58:19.782354
0q,0.0814,0.06,0.10927,0.13,35,-0.3738,INTC,2025-12-31 16:58:22.998383
+1q,0.05289,-0.03,0.18,0.13,32,-0.59319997,INTC,2025-12-31 16:58:22.998383
0y,0.33998,0.28,0.37458,-0.13,42,3.6151998,INTC,2025-12-31 16:58:22.998383
+1y,0.59549,0.26,1.0,0.33998,44,0.7515,INTC,2025-12-31 16:58:22.998383
0q,3.05019,3.02,3.2,2.78,46,0.097200006,CRM,2025-12-31 16:58:26.498676
+1q,3.01077,2.82,3.27,2.58,41,0.16700001,CRM,2025-12-31 16:58:26.498676
0y,11.77078,11.5,11.92,10.2,50,0.154,CRM,2025-12-31 16:58:26.498676
+1y,13.11845,11.92,15.04,11.77078,56,0.1145,CRM,2025-12-31 16:58:26.498676
0q,1.71457,1.67,1.77,1.47,31,0.1664,ORCL,2025-12-31 16:58:29.864898
+1q,1.97027,1.83,2.15,1.7,30,0.159,ORCL,2025-12-31 16:58:29.864898
0y,7.36811,6.77,7.58,6.03,36,0.2219,ORCL,2025-12-31 16:58:29.864898
+1y,7.9627,6.16,8.48,7.36811,43,0.080699995,ORCL,2025-12-31 16:58:29.864898
0q,1.68596,1.61,1.77,1.43,19,0.17899999,WFC,2025-12-31 16:58:33.282659
+1q,1.55596,1.48,1.73,1.39,16,0.119399995,WFC,2025-12-31 16:58:33.282659
0y,6.33142,6.21,6.51,5.37,21,0.17899999,WFC,2025-12-31 16:58:33.282659
+1y,7.05793,6.62,7.36052,6.33142,22,0.114700004,WFC,2025-12-31 16:58:33.282659
0q,1.31047,1.25,1.54,1.3,30,0.0081,TXN,2025-12-31 16:58:38.769169
+1q,1.2801,1.12,1.58,1.28,28,0.0001,TXN,2025-12-31 16:58:38.769169
0y,5.47709,5.4,5.71,5.2,31,0.0533,TXN,2025-12-31 16:58:38.769169
+1y,6.13599,5.24,7.06909,5.47709,33,0.120299995,TXN,2025-12-31 16:58:38.769169
0q,1.71148,1.64328,1.83,1.55,12,0.1042,PM,2025-12-31 16:58:43.079439
+1q,1.90159,1.85,1.98,1.69,7,0.1252,PM,2025-12-31 16:58:43.079439
0y,7.54348,7.38514,7.89,6.57,18,0.14819999,PM,2025-12-31 16:58:43.079439
+1y,8.34101,8.22,8.60133,7.54348,18,0.10569999,PM,2025-12-31 16:58:43.079439
0q,0.60097,0.4624,0.971,0.53,13,0.1339,NEE,2025-12-31 16:58:47.219335
+1q,0.8543,0.46,1.21,0.99,9,-0.1371,NEE,2025-12-31 16:58:47.219335
0y,3.69242,3.62942,3.85,3.43,22,0.0765,NEE,2025-12-31 16:58:47.219335
+1y,4.00691,3.85,4.07658,3.69242,23,0.085200004,NEE,2025-12-31 16:58:47.219335
0q,2.18688,2.036,2.28,2.75,23,-0.2048,UPS,2025-12-31 16:58:50.456328
+1q,1.39546,1.05,1.56,1.49,17,-0.0634,UPS,2025-12-31 16:58:50.456328
0y,6.87886,6.16,7.31499,7.72,30,-0.109,UPS,2025-12-31 16:58:50.456328
